Program Name,Program Link
"Accounting Data Analytics and Technology, MS",https://www.pace.edu/program/accounting-data-analytics-and-technologies-ms
"Accounting, Public Accounting, CPA Prep, MS",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ms-in-accounting/
"Accounting, Public Accounting, CPA Prep, MS",https://www.pace.edu/program/accounting-public-accounting-cpa-prep-ms
"Accounting, Public Accounting, CPA Prep, MBA",https://www.pace.edu/program/accounting-public-accounting-cpa-prep-mba
"Adolescent and Adolescent Special Education, MST (Grades 7-12)",https://www.pace.edu/program/adolescent-and-adolescent-special-education-mst
"Adolescent Education, MST (Grades 7-12)",https://www.pace.edu/program/adolescent-education-mst
"Applied Quantitative Economic Analysis and Policy, MS",https://www.pace.edu/program/applied-quantitative-economic-analysis-and-policy-ms
"Arts and Entertainment Management, MBA",https://www.pace.edu/program/arts-and-entertainment-management-mba
"Arts and Entertainment Management, MS",https://www.pace.edu/program/arts-and-entertainment-management-ms
"Bilingual Education, Certificate of Advanced Graduate Study",https://www.pace.edu/program/bilingual-education-certificate-of-advanced-graduate-study
"Biochemistry and Molecular Biology, MS",https://www.pace.edu/program/biochemistry-and-molecular-biology-ms
"Business Administration, MBA/Juris Doctor, JD",https://www.pace.edu/program/business-administration-mbajuris-doctor-jd
"Business Analytics, MBA",https://www.pace.edu/program/business-analytics-mba
"Business, General, MBA",https://www.pace.eduhttps://online.pace.edu/graduate-programs/mba/
"Business, General, MBA",https://www.pace.edu/program/business-general-mba
"Childhood Education and Bilingual Education, MST (Grades 1-6)",https://www.pace.edu/program/childhood-education-and-bilingual-education-mst
"Childhood Education and Childhood Special Education, MST (Grades 1-6)",https://www.pace.edu/program/childhood-education-and-childhood-special-education-mst
"Childhood Education and Teaching English to Speakers of Other Languages (TESOL), MST (Grades 1-6)",https://www.pace.edu/program/childhood-education-and-teaching-english-speakers-of-other-languages-tesol-mst
"Childhood Education, MST (Grades 1-6)",https://www.pace.edu/program/childhood-education-mst
"Clinical Psychology, Health Care Emphasis, PhD",https://www.pace.edu/program/clinical-psychology-health-care-emphasis-phd
"Communications and Digital Media, MA",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ma-communications-digital-media/
"Communication Sciences, and Disorders, MS",https://www.pace.edu/program/communication-sciences-and-disorders-ms
"Computer Science, MS",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ms-in-computer-science/
"Computer Science, MS",https://www.pace.edu/program/computer-science-ms
"Computer Science, PhD",https://www.pace.edu/program/computer-science-phd
"Cybersecurity, MS",https://www.pace.edu/program/cybersecurity-ms
"Data Science, MS",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ms-in-data-science/
"Data Science, MS",https://www.pace.edu/program/data-science-ms
"Doctor of Professional Studies, Executive Doctoral Program (DPS)",https://www.pace.edu/program/doctor-of-professional-studies-executive-doctoral-program-dps
"Early Childhood and Special Education, MST (Birth-Grade 2)",https://www.pace.edu/program/early-childhood-and-special-education-mst
"Early Childhood Education, MST (Birth-Grade 2)",https://www.pace.edu/program/early-childhood-education-mst
Early Childhood Extension Certification (Birth-Grade 2),https://www.pace.edu/program/early-childhood-extension-certification
"Environmental Science and Policy, MS",https://www.pace.edu/program/environmental-science-and-policy-ms
"Finance, Corporate Finance, MBA",https://www.pace.edu/program/finance-corporate-finance-mba
"Financial Management, MS",https://www.pace.edu/program/financial-management-ms
"Financial Operations and Technology, MS",https://www.pace.edu/program/financial-operations-and-technology-ms
"Financial Risk Management, MS",https://www.pace.edu/program/financial-risk-management-ms
"Forensic Science, MS",https://www.pace.edu/program/forensic-science-ms
"Health Care Policy and Management, Certificate",https://www.pace.eduhttps://catalog.pace.edu/graduate/schools/dyson-college-arts-sciences/dyson-graduate-programs-curriculum/graduate-certificate-programs/public-administration-certificates/health-care-policy-management-certificate/
"Health Informatics, MS",https://www.pace.edu/program/health-informatics-ms
"Health Law and Policy, Advanced Certificate",https://www.pace.eduhttps://online.pace.edu/certificates-badges/advanced-certificate-health-law-policy/
"Higher Education Administration and Student Affairs, MA",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ma-higher-education-administration-student-affairs/
"Homeland Security, MA",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ma-homeland-security/
"Human Centered Design, MS",https://www.pace.edu/program/human-centered-design-ms
"Human Resources Management, MS",https://www.pace.edu/program/human-resources-management-ms
"Information Systems, MBA",https://www.pace.edu/program/information-systems-mba
"Information Systems, MS",https://www.pace.edu/program/information-systems-ms
"Information Technology, MS",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ms-information-technology/
"Integrated Instruction for Literacy and Technology, Certificate of Advanced Graduate Study",https://www.pace.edu/program/integrated-instruction-literacy-and-technology-certificate-of-advanced-graduate-study
"Investment Management, MBA",https://www.pace.edu/program/investment-management-mba
"Law, Doctor of Juridical Science, SJD",https://www.pace.eduhttps://www.pace.edu/law/academics/graduate-programs/sjd-environmental-law
"Law, Juris Doctor, JD",https://www.pace.eduhttps://www.pace.edu/law/academics/jd-program
"Law, Master of Laws in Comparative Legal Studies, LLM",https://www.pace.eduhttps://www.pace.edu/law/academics/graduate-programs/llm-comparative-legal-studies
"Law, Master of Laws in Environmental Law, LLM",https://www.pace.eduhttps://www.pace.edu/law/academics/graduate-programs/llm-environmental-law
"Literacy and Special Education, MSEd",https://www.pace.edu/program/literacy-and-special-education-msed
"Literacy and Teaching English to Speakers of Other Languages (TESOL), MSEd",https://www.pace.edu/program/literacy-and-teaching-english-speakers-of-other-languages-tesol-msed
"Literacy Specialist, Advanced Certificate",https://www.pace.eduhttps://online.pace.edu/certificates-badges/advanced-certificate-literacy-specialist/
"Literary Specialist, MSEd",https://www.pace.eduhttps://online.pace.edu/graduate-programs/msed-literacy-specialist/
"Long Term Care Management and Practice, Certificate",https://www.pace.eduhttps://catalog.pace.edu/graduate/schools/dyson-college-arts-sciences/dyson-graduate-programs-curriculum/graduate-certificate-programs/public-administration-certificates/long-term-care-management-practice-certificate/
"Marketing Analytics, MBA",https://www.pace.edu/program/marketing-analytics-mba
"Marketing Analytics, MS",https://www.pace.edu/program/marketing-analytics-ms
"Marketing Management, MBA",https://www.pace.edu/program/marketing-management-mba
"Marketing, Social Media and Mobile Marketing, MS",https://www.pace.edu/program/ms-marketing-social-media-and-mobile-marketing
"Mental Health Counseling, MS",https://www.pace.edu/program/mental-health-counseling-ms
"Mental Health Counseling, PhD",https://www.pace.edu/program/mental-health-counseling-phd
Middle School Extension Certification,https://www.pace.edu/program/middle-school-extension-certification
"Not-For-Profit Management, Certificate",https://www.pace.eduhttps://catalog.pace.edu/graduate/schools/dyson-college-arts-sciences/dyson-graduate-programs-curriculum/graduate-certificate-programs/public-administration-certificates/not-for-profit-management-certificate/
"Nursing, Adult-Gerontology Acute Care Nurse Practitioner (AGACNP), MS",https://www.pace.edu/program/adult-gerontology-acute-care-nurse-practitioner-agacnp-ms
"Nursing, Adult-Gerontology Acute Care Nurse Practitioner (AGACNP), Certificate",https://www.pace.edu/program/adult-gerontology-acute-care-nurse-practitioner-agacnp-certificate
"Nursing, Doctor of Nursing Practice, DNP",https://www.pace.edu/program/online-accelerated-doctor-of-nursing-practice-dnp
"Nursing Education, Certificate of Advanced Graduate Studies",https://www.pace.edu/program/nursing-education-certificate-of-advanced-graduate-studies
"Nursing, Family Nurse Practitioner (FNP), MS",https://www.pace.edu/program/family-nurse-practitioner-fnp-ms
"Nursing, Family Nurse Practitioner (FNP), Certificate",https://www.pace.edu/program/family-nurse-practitioner-fnp-certificate
"Nursing, PhD",https://www.pace.edu/program/nursing-phd
"Nursing, Psychiatric Mental Health Nurse Practitioner (PMHNP), MS",https://www.pace.edu/program/psychiatric-mental-health-nurse-practitioner-ms
"Nursing, Psychiatric Mental Health Nurse Practitioner (PMHNP), Certificate",https://www.pace.edu/program/psychiatric-mental-health-nurse-practitioner-certificate
"Nutrition and Dietetics, MS",https://www.pace.edu/program/nutrition-and-dietetics-ms
"Occupational Therapy, MS",https://www.pace.edu/program/occupational-therapy-ms
"Pace University-Lenox Hill Hospital Physician Assistant Program, MS",https://www.pace.edu/program/pace-university-lenox-hill-hospital-physician-assistant-program-ms
"Physician Assistant Master's Degree Completion Program, MS",https://www.pace.edu/program/physician-assistant-masters-degree-completion-program-ms
"Physician Assistant Program-Pleasantville, MS",https://www.pace.edu/program/physician-assistant-ms
"Psychology, MA",https://www.pace.edu/program/psychology-ma
"Public Administration, MPA",https://www.pace.edu/program/public-administration-mpa
"Public Administration, MPA",https://www.pace.eduhttps://online.pace.edu/graduate-programs/master-public-administration-mpa/
"Public Administration, MPA/Juris Doctor, JD",https://www.pace.eduhttps://catalog.pace.edu/graduate/schools/dyson-college-arts-sciences/dyson-graduate-programs-curriculum/master-public-administration-program/dual-degree-accelerated-program-mpa-juris-doctor/
"Public Health, MPH",https://www.pace.edu/program/public-health-mph
"Publishing, MS",https://www.pace.edu/program/publishing-ms
"School Psychology, MSEd",https://www.pace.edu/program/school-psychology-msed
"School Psychology, PhD",https://www.pace.edu/program/school-psychology-phd
"School-Clinical Child Psychology, PsyD",https://www.pace.edu/program/school-clinical-child-psychology-psyd
"Secure Software and Information Engineering, Certificate",https://www.pace.eduhttps://online.pace.edu/certificates-badges/advanced-certificate-secure-software-information-engineering/
"Software Development and Engineering, Certificate",https://www.pace.eduhttps://online.pace.edu/certificates-badges/advanced-certificate-software-development-engineering/
"Software Development and Engineering, MS",https://www.pace.eduhttps://online.pace.edu/graduate-programs/ms-in-software-development-engineering/
"Software Development and Engineering, MS",https://www.pace.edu/program/software-development-and-engineering-ms
"Special Education (All Grades), MSEd",https://www.pace.edu/program/special-education-msed
"Special Education: Teaching Students with Disabilities (All Grades), Certificate of Advanced Graduate Study",https://www.pace.edu/program/special-education-teaching-students-disabilities-certificate
"Strategy and International Business, MBA",https://www.pace.edu/program/mba-international-business-and-strategy
"Talent Management, MBA",https://www.pace.edu/program/talent-management-mba
"Taxation, MS",https://www.pace.edu/program/taxation-ms
"Teaching English as a New Language, MSEd",https://www.pace.edu/program/teaching-english-new-language-msed
"Teaching English as a Second Language (TESOL), Certificate of Advanced Graduate Study",https://www.pace.edu/program/teaching-english-second-language-tesol-certificate-of-advanced-graduate-study
"Teaching English to Speakers of Other Languages (TESOL) International, MS",https://www.pace.edu/program/teaching-english-speakers-of-other-languages-tesol-international-ms
"Teaching English to Speakers of Other Languages (TESOL), MST",https://www.pace.edu/program/teaching-english-speakers-of-other-languages-tesol-mst
"Teaching Performing Arts Theatre, MST",https://www.pace.edu/program/teaching-performing-arts-theatre-mst
"Telecommunication Systems and Networks, MS",https://www.pace.edu/program/telecommunication-systems-and-networks-ms
"Visual Arts, MST",https://www.pace.edu/program/visual-arts-mst
